NUMERODEPEDIDO;CODIGOARTICULO;UNIDADES
1;AR01;11
1;AR04;10
1;AR15;4
1;AR22;18
3;AR02;20
3;AR22;3
5;AR04;16
7;AR06;16
8;AR02;6
8;AR06;5
8;AR07;6
8;AR10;2
8;AR12;30
8;AR15;15
8;AR18;20
8;AR19;18
8;AR25;5
8;AR32;15
8;AR33;18
8;AR34;5
8;AR35;24
9;AR06;14
11;AR08;1
12;AR08;12
13;AR08;8
16;AR10;17
19;AR13;4
21;AR15;11
22;AR17;6
22;AR26;4
22;AR28;21
25;AR19;12
26;AR19;12
27;AR21;11
28;AR21;22
29;AR22;12
30;AR23;33
31;AR24;31
32;AR25;11
34;AR22;7
34;AR27;3
35;AR22;9
35;AR27;12
37;AR27;11
39;AR29;22
40;AR30;1
42;AR31;21
43;AR32;3
44;AR22;22
45;AR36;21
46;AR37;8
47;AR38;12
48;AR38;13
49;AR39;13
50;AR39;1
